8441694,9061761,Bus
8441694,10381699,Car
8611522,8631524,Car
8611522,11251704,Rail
8631524,9791429,Car
8631524,8441694,Bus
9061761,9611790,Car
9081958,9361783,Rail
9081958,9121959,Car
9121959,9161962,Car
9121959,9201956,Bus
9161962,9201956,Bike
9201956,12032132,Car
9201956,12201929,Bus
9291784,9061761,Bus
9291784,9611790,Bus
9361783,9291784,Car
9361783,8611522,Rail
9611790,12351837,Car
9611790,9201956,Bus
9791429,12271393,Car
10111496,10351609,Car
10111496,9791429,Car
10351609,8631524,Bus
10351609,13461591,Car
10381699,10351609,Bus
10381699,11251704,Bus
11251704,12681748,Rail
11321746,9611790,Car
11321746,11251704,Bus
11391765,11321746,Car
11391765,9361783,Rail
12032132,9081958,Rail
12032132,12872098,Car
12201929,13341864,Bus
12201929,14671957,Car
12271393,13461591,Bus
12271393,14521393,Car
12321385,8611522,Rail
12321385,12271393,Car
12351837,11321746,Bus
12351837,13341864,Bus
12631755,12991762,Bus
12631755,11321746,Bus
12681748,12631755,Car
12681748,11391765,Rail
12872098,14262019,Car
12872098,14202070,Car
12991762,13531780,Bus
13341864,15221843,Bus
13341864,13991769,Bus
13491586,13461591,Car
13491586,8611522,Rail
13531780,13881767,Bus
13531780,15221843,Car
13881767,13991769,Bus
13991769,14311740,Bus
13991769,15451790,Car
14071655,13461591,Car
14071655,15431681,Car
14202070,14262019,Car
14202070,15602006,Car
14211727,14271730,Car
14211727,12681748,Rail
14262019,15602006,Bus
14262019,14671957,Car
14271730,14971722,Bus
14271730,13991769,Car
14311740,14271730,Bus
14431547,14521393,Car
14431547,13461591,Car
14521393,14611235,Car
14521393,16621388,Car
14601225,12321385,Rail
14601225,14611235,Car
14611235,12271393,Car
14671957,15491853,Car
14671957,13341864,Bus
14931717,15581717,Rail
14931717,14211727,Rail
14971722,15651723,Bus
14971722,14931717,Car
15041554,14431547,Car
15221843,15571818,Car
15221843,15681844,Bus
15431681,15431725,Bus
15431681,15861586,Bus
15431725,15651732,Bus
15431725,15441764,Car
15441764,15531757,Bus
15441764,15511776,Bus
15451790,15741786,Bus
15451790,15511776,Car
15481720,15431725,Bus
15481720,15431681,Bus
15481786,15741786,Foot
15481786,15451790,Car
15491853,15221843,Car
15491853,15841854,Car
15511776,15861781,Bus
15511776,15741786,Car
15531757,15651754,Bus
15531757,15611749,Car
15561685,15431681,Bus
15561685,16191675,Car
15561689,16401702,Rail
15561689,15561685,Bus
15571818,16321795,Car
15571818,15451790,Car
15581717,16541744,Rail
15581717,15651723,Car
15591825,15571818,Bus
15591825,15681844,Bus
15602006,15491853,Bus
15602006,14671957,Bus
15611749,15831745,Bus
15611749,15681746,Car
15651723,15831726,Bus
15651723,15651732,Bus
15651732,15891736,Bus
15651732,15611749,Car
15651739,15651732,Car
15651754,15801753,Bus
15651754,15611749,Bus
15652001,18012084,Rail
15652001,15602006,Car
15681746,15831745,Bus
15681746,15651739,Car
15681844,15761842,Bus
15681844,15491853,Bus
15741786,15861781,Bus
15741786,16011779,Car
15761842,15652001,Rail
15761842,15941834,Bus
15801753,15951753,Bus
15821723,15831726,Car
15831726,15941726,Bus
15831726,15971732,Car
15831745,15911744,Bus
15832241,12032132,Rail
15832241,16072263,Car
15841854,15941834,Car
15841854,15681844,Bus
15861586,15041554,Car
15861781,15911779,Bus
15861781,15931781,Car
15891736,16001737,Bus
15891736,15831726,Car
15911575,14601225,Rail
15911575,13491586,Rail
15911744,15991745,Bus
15911744,15891736,Bus
15911779,16021756,Bus
15911779,16011779,Bus
15931781,15761842,Rail
15931781,15911779,Car
15941726,16011730,Bus
15941726,15971732,Car
15941834,16141820,Bus
15941834,15591825,Car
15951753,16051750,Bus
15951753,16021756,Car
15952280,15832241,Rail
15952280,15602006,Car
15971732,16001737,Car
15971732,16011730,Foot
15991745,16071745,Bus
15991745,16001737,Car
16001737,16081741,Bus
16001737,16121732,Car
16011730,16121732,Bus
16011779,16061772,Bus
16011779,16131779,Car
16021756,16051750,Bus
16021756,16171762,Car
16031862,15841854,Bus
16051750,16071745,Bus
16051750,16271751,Bus
16061772,16161770,Bus
16061772,16131766,Car
16071745,16421744,Bus
16071745,16081741,Car
16072263,15952280,Car
16072263,17062210,Car
16081741,16321746,Bus
16081741,16121732,Car
16121732,16371735,Bus
16131766,16251761,Bus
16131766,16171762,Car
16131779,16161770,Bus
16131779,16411782,Car
16141820,16321770,Bus
16161770,16261769,Bus
16161770,16131766,Bus
16171762,16251761,Car
16171762,16161770,Car
16191675,17161614,Car
16191675,15041554,Car
16231787,16361787,Bus
16231787,16131779,Bus
16251761,16261769,Car
16251761,16271751,Bus
16261769,16321770,Bus
16271751,16391752,Bus
16321770,16411764,Bus
16321770,16461768,Bus
16321795,16361787,Bus
16321795,16511793,Car
16361787,16411782,Bus
16371735,16421744,Bus
16371735,16561741,Car
16391752,16531745,Bus
16401702,17311606,Rail
16401702,16191675,Car
16411764,16431761,Bus
16411764,16461768,Bus
16411782,16461768,Bus
16411782,16561780,Bus
16421744,16561743,Bus
16431761,16501762,Car
16431761,16391752,Bus
16461768,16501762,Bus
16461768,16721768,Car
16491584,15861586,Bus
16501762,16511757,Bus
16511757,16531749,Bus
16511793,16561780,Car
16511793,16721798,Bus
16531745,16541744,Bike
16531749,16531745,Bus
16541744,15931781,Rail
16551739,16561738,Car
16561738,16561741,Car
16561741,16561743,Car
16561743,16531745,Bus
16561744,16541744,Bike
16561780,16701778,Bus
16561780,16721771,Car
16581816,16721798,Bus
16601871,16031862,Bus
16601871,16581816,Car
16621388,14611235,Car
16621388,16851497,Car
16631738,16661741,Foot
16631738,16561738,Foot
16661741,16771744,Car
16661741,16721745,Car
16701739,16771744,Car
16701739,16661741,Foot
16701748,16531749,Bus
16701778,17121766,Car
16701778,16721771,Bus
16721745,16701748,Car
16721745,16561743,Bus
16721768,16771756,Car
16721768,16701748,Bus
16721771,16721768,Bus
16721798,16781786,Bus
16721798,16921782,Bus
16771744,16861747,Car
16771744,16721745,Car
16771756,16841752,Car
16771756,16831764,Car
16781749,16701748,Bus
16781749,16721745,Bus
16781786,16701778,Bus
16831764,16991761,Bus
16831764,16921782,Bus
16841752,16781749,Bus
16842053,17462005,Car
16842053,15602006,Bus
16851497,18201536,Car
16851497,16491584,Car
16852174,17062210,Rail
16852174,12032132,Car
16861747,16841752,Car
16861747,16721745,Bus
16881879,17341839,Bus
16881879,16601871,Bus
16921782,17311773,Bus
16921782,16721771,Car
16991761,16841752,Bus
17011893,16881879,Bus
17051912,17011893,Car
17051912,16881879,Bus
17062210,15832241,Rail
17062210,18212132,Car
17121766,16991761,Bus
17151748,16861747,Bus
17161614,15861586,Car
17191741,17151748,Car
17251748,17151748,Bus
17261973,17051912,Bus
17261973,15602006,Car
17311606,15911575,Rail
17311773,17121766,Bus
17341839,17501821,Bus
17391779,17311773,Bus
17462005,17261973,Bus
17462005,18251911,Car
17471779,17391779,Bus
17501821,17511801,Bus
17501821,16921782,Bike
17511801,17391779,Bus
17511801,17671780,Car
17671741,17251748,Bus
17671780,17471779,Bus
17701904,17341839,Car
17701904,17011893,Bus
17741838,18091793,Car
17741838,17501821,Bike
17931870,18161848,Car
17931870,17741838,Bike
18001757,17671780,Bus
18001757,17671741,Car
18011741,18021751,Bus
18011741,17671741,Bus
18012084,18202128,Rail
18012084,16842053,Bus
18021751,18001757,Bus
18061814,18091793,Car
18061814,17741838,Car
18091793,17671780,Bus
18091793,18001757,Car
18161848,18841828,Car
18161848,18091793,Car
18201536,19151566,Car
18202128,16852174,Rail
18202128,18392104,Car
18211722,18011741,Bus
18212132,18202128,Car
18212132,16852174,Car
18251900,18841828,Car
18251900,17931870,Bike
18251911,18251900,Car
18251911,17701904,Bus
18391913,18251911,Foot
18392104,18012084,Bus
18732113,18392104,Bus
18732113,18212132,Car
18841828,18091793,Bus
18841828,20321731,Car
18901710,18211722,Bus
19131564,19151566,Car
19131564,17311606,Rail
19151566,17161614,Car
19711561,19151566,Car
19711561,18201536,Car
19711562,19711561,Car
19711562,19131564,Rail
19871684,18901710,Bus
20321731,20391706,Bus
20321731,18011741,Car
20331668,19871684,Car
20391706,19871684,Bus
21121576,21271622,Bike
21141652,20331668,Car
21271622,21141652,Car
51889340,17191741,Ship
51889340,19151566,Ship